"site","depth","me","mspe","msne","cor_obspred","cor_predres","rmse"
"birkhowe","1",-0.00349147958420198,508.216160261926,1.26398653418188,0.130608729301816,-0.251131236258672,22.5436501095525
"birkhowe","2",-0.716571246341265,362.368750872572,0.623203797495257,0.359744513777833,-0.386116608960714,19.0359856816654
"birkhowe","3",-2.81022770537172,4804.67975441405,0.835798768269768,-0.243174882399467,-0.533278511160101,69.3157972933591
"lowsnab","1",-0.236335478351338,238.538982479702,0.431300252728809,0.830670019183123,-0.0745699556381761,15.4447072642929
"lowsnab","2",-0.156105349425646,798.207353315552,0.417953101180135,0.815261874751145,-0.105585519263638,28.2525636591717
"lowsnab","3",0.365770484308444,1081.59135164498,0.476856972881755,0.704742560667876,-0.0890668895486051,32.8875561823159
"hollins","1",0.131689146308067,237.559963823622,1.35493070495026,0.717199977807434,-0.182485293223656,15.4129803679763
"hollins","2",0.710320804081014,142.198041904902,1.19902539994479,0.670398193032504,-0.184809440562588,11.9246820462812
"hollins","3",NA,NA,NA,NA,NA,NA
